source_id,2MASS,AllWISE,GALEX,ra,dec,pmra,pmdec,distance,e_b_v,mh_gspphot,ruwe,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,fuvmag,e_fuvmag,nuvmag,e_nuvmag,2MASS_qph,AllWISE_ccf,AllWISE_qph,accretion,bp_rp_0,fuv_j_0,nuv_j_0,fuv_nuv_0,j_k_0
146277553787186048,2MASS 04322329+2403013,AllWISE J043223.31+240301.2,,68.09716318394142,24.05030758355711,7.181950514940725,-21.88559932,126.7694267,1.5107054,,1.0493962,16.758675,361.3388,19.727009,20.998535,15.235544,120.09611,12.335,0.024,11.691,0.023,11.327,0.02,11.12,0.023,10.793,0.02,10.532,0.157,8.305,,,,,,AAA,0000,AABU,FALSE,,,,,
146285112929523456,2MASS 04302365+2359129,AllWISE J043023.65+235912.8,,67.59857196488342,23.986844492661923,7.7054466214043345,-22.20210822,132.30060951696237,1.3373268,,1.0805342,19.667805,241.88087,21.151808,3.6952624,18.13873,43.751602,14.96,0.037,14.244,0.043,13.698,0.053,13.476,0.025,13.182,0.034,11.619,,8.832,,,,,,AAA,0000,AAUU,FALSE,,,,,
146319193494413696,2MASS 04274538+2357243,AllWISE J042745.39+235724.1,,66.93917084144658,23.95670898507713,11.959405142479806,-16.14788746,158.8555833,0.9148422,,1.0964948,19.704422,217.78333,21.750069,7.2527933,18.113964,68.79437,14.933,0.04,14.236,0.047,13.689,0.05,13.406,0.026,13.107,0.047,11.159,,8.113,,,,,,AAA,0000,AAUU,FALSE,,,,,
146366442430208640,2MASS 04295950+2433078,AllWISE J042959.51+243307.5,,67.49799065088487,24.552040229103127,8.514488372559537,-21.35342965,131.77245012203284,1.4993929,,1.1276284,16.756235,50.583717,19.629543,11.355554,15.236328,16.684376,11.683,0.024,10.536,0.027,9.81,0.021,9.119,0.023,8.483,0.02,6.872,0.018,4.858,0.036,,,,,AAA,0000,AAAA,FALSE,,,,,
146487556211644544,2MASS 04414489+2301513,,,70.43710934293101,23.03085149358266,7.917722544816522,-20.15241338,122.21622917998025,0.37910414,,1.0971704,18.915628,248.76868,21.045517,6.272217,17.32633,62.117737,14.419,0.026,13.726,0.029,13.161,0.025,,,,,,,,,,,,,AAA,,,FALSE,,,,,
146709146460303744,2MASS 04385871+2323595,AllWISE J043858.71+232359.2,,69.74468142050874,23.399759054635936,7.210226096103449,-21.33245851,125.15131591080932,0.71806544,,1.1197935,16.259193,617.29865,18.73831,44.88274,14.837852,258.34183,12.492,0.023,11.936,0.022,11.595,0.018,11.371,0.022,11.098,0.022,10.731,0.115,8.617,,,,,,AAA,0000,AABU,FALSE,,,,,
146758968080949504,2MASS 04381630+2326402,AllWISE J043816.30+232640.0,,69.56793760130232,23.44441638345393,7.602372382216446,-21.90611243,127.10342582036272,0.9123207,0.4244,1.1712164,15.213491,983.8594,17.2531,138.31827,13.878245,446.44284,11.807,0.023,11.241,0.022,10.962,0.02,10.793,0.023,10.551,0.021,10.324,0.09,8.043,,,,,,AAA,0000,AAAU,FALSE,,,,,
146764465639042176,2MASS 04390637+2334179,AllWISE J043906.38+233417.7,,69.77661704067877,23.571548801017737,8.253996229,-21.69860512,125.47883741785168,0.7587122,,1.2007562,15.830748,766.80396,18.395016,42.629353,14.404238,294.5617,12.093,0.023,11.531,0.023,11.192,0.018,10.903,0.024,10.617,0.02,10.357,0.081,8.631,,,,,,AAA,0000,AAAU,FALSE,,,,,
146764809236423808,2MASS 04390163+2336029,AllWISE J043901.63+233602.7,,69.75684709577561,23.60072493439916,7.932523978996187,-21.59313677,126.75736480631316,0.77385247,0.1582,1.2128042,14.34845,417.60803,16.178835,94.48211,13.067573,136.98447,11.335,0.023,10.595,0.023,10.185,0.018,9.871,0.023,9.479,0.02,7.969,0.02,6.326,0.061,,,,,AAA,0000,AAAA,FALSE,,,,,
146767764173923328,2MASS 04385859+2336351,AllWISE J043858.60+233634.9,,69.74421535764583,23.609670269515505,8.09108249,-21.20050831,126.64799721549603,0.78200793,,1.1120814,15.657024,1114.6736,17.917429,66.43994,14.263597,507.89,11.975,0.023,11.362,0.023,11.033,0.018,10.7,0.024,10.197,0.021,8.338,0.026,6.519,0.069,,,,,AAA,0000,AAAA,FALSE,,,,,
