#'star' 'date' 'EW' 'Redshift' 'Calculated_RV' 'BJD'
FRBoo 2020-05-11 1.3291540953021475 -0.00017911988287493602 -53.69878853079012 2458980.731319593
FRBoo 2020-07-13 1.4839739019507507 -0.00013732483931943253 -41.16895002542901 2459043.715891451
FRBoo 2020-07-14 1.4556612017266044 -0.00013798474904631481 -41.36678597922988 2459044.659845414
FRBoo 2021-01-31 1.327269417653782 -0.0002814254809576662 -84.3692344287271 2459245.9897105666
FRBoo 2021-03-30 1.3855458843645714 -0.00022144009045128434 -66.38606724461214 2459303.786001935
FRBoo 2021-04-01 1.3788974838918242 -0.00021830314584167832 -65.44563493458406 2459305.8582141357
FRBoo 2021-04-23 1.3353422418217922 -0.00018487768268354385 -55.42493344202219 2459327.820292865
FRBoo 2021-05-04 1.3915786321144674 -0.0001761489776406784 -52.808133571894196 2459338.7903656997
29Dra 2021-05-03 0.46882447635549784 -0.00015272708002864852 -45.78642550313461 2459337.934332389
29Dra 2021-07-07 0.5038022154793937 -0.00013065679229855607 -39.16991987232526 2459402.696099308 #Fix
29Dra 2021-07-08 0.5631250436832023 -0.0001386889378027872 -41.5778964517952 2459403.7175322706 #Fix
29Dra 2021-08-26 0.4944074213867413 -0.0001818804778371647 -54.52639405797431 2459452.6254662015
29Dra 2021-08-27 0.45280071268260036 -0.00018095102082992025 -54.247749864602824 2459453.6028061365
2MASSJ08171221+0736164 2020-11-22 0.9727937155358934 -0.0001223215418679431 -36.67107472436824 2459175.9924514727
2MASSJ08171221+0736164 2021-02-01 0.8568873863370214 -0.0001263686606353812 -37.884370375099486 2459246.812369657
2MASSJ08171221+0736164 2021-04-25 0.9774188550648515 2.5244591244444402e-05 7.5681378584205365 2459329.6651792834
2MASSJ08171221+0736164 2021-03-31 1.1662664035092 -3.2744487919709244e-05 -9.816550257445037 2459304.7065646704
GSC02769-00149 2020-07-13 -1.5152325348327969 -0.00034278715703147034 -102.76500163499922 2459043.946432999
GSC02769-00149 2020-08-06 -1.5631923523338918 -0.0002877828755095464 -86.27513331705192 2459067.953196569
GSC02769-00149 2020-09-03 -1.5543454305421678 -0.0003773035612201795 -113.1127590119226 2459095.789541856
GSC02769-00149 2020-09-28 -1.123945748239958 -0.00029723170011066775 -89.10781959384236 2459120.7442322248
GSC02769-00149 2020-11-21 -0.8139517782018713 -0.00019672271487192425 -58.97598466210561 2459174.659242519
GSC02769-00149 2020-11-22 -1.0932236257031205 -0.00018809727286663966 -56.39014227100843 2459175.631255174
GSC02769-00149 2020-12-05 -0.995217330222764 -0.0002570864629111423 -77.0725805779655 2459188.673853307
GSC02769-00149 2021-07-08 -1.2984381458990057 -0.00030482513592525743 -91.38427432061594 2459403.8925774097
GSC02769-00149 2021-07-09 -1.5917136159392893 -0.0003310563392294458 -99.24819102562667 2459404.9565587067
