#file EW Redshift Calculated_RV BJD BVCORR Comments
GSC00563-00384_2020-07-13_0.pkl 0.22752434415868583 -0.0002317327487785031 -69.47172850154196 2459043.911502601 21.565 --
GSC00563-00384_2020-08-06_0.pkl 0.3650020509183505 -0.0002579572875821425 -77.33364723960509 2459067.8710220093 12.303 --
GSC00563-00384_2020-09-03_0.pkl 0.4520238031340491 -0.00024400524298426665 -73.15092960709862 2459095.77100075 -0.861 --
GSC00563-00384_2020-09-27_0.pkl 0.3147775430717137 -0.00019855745859360198 -59.52602697754949 2459119.7244436378 -12.436 --
GSC00563-00384_2020-11-21_0.pkl 0.5173896921379111 -6.616334951142384e-05 -19.835272650236057 2459174.601892573 -29.152 --
GSC00563-00384_2021-07-08_0.pkl 0.6791383471028891 -0.00033133179351328403 -99.33077014024153 2459403.8620353444 23.335 --
GSC00563-00384_2021-07-09_0.pkl 0.6786295741098707 -0.00032725558982830093 -98.10875505082142 2459404.92885045 22.856 --
GSC00563-00384_2021-08-26_0.pkl 0.5378980114390224 -0.00016996996997001044 -50.955713723735855 2459452.8593303356 2.998 --
GSC00563-00384_2021-10-03_0.pkl 0.6090041493908687 -0.00016618887244605106 -49.82216923333914 2459490.7738454654 -15.157 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
0.48682083505148455 0.48682083505148455 0.48682083505148455 0.48682083505148455 0.15097200888374973 0.15097200888374973 0.15097200888374973 0.15097200888374973
