#file EW Redshift Calculated_RV BJD BVCORR Comments
TYC2268-394-1_2020-08-07_0.pkl 1.2131684853244833 -0.0003262440945279509 -97.80551639656599 2459068.8720851215 22.897 --
TYC2268-394-1_2020-09-28_0.pkl 0.4116920607496324 -7.780118425632162e-05 -23.32420764110409 2459120.763618648 5.519 --
TYC2268-394-1_2020-12-05_0.pkl 1.1466626472227155 -0.0003282318756987531 -98.40143818382465 2459188.598578787 -21.656 --
TYC2268-394-1_2020-09-03_0.pkl 1.1173803235464366 -0.00037566852295519944 -112.62258688462049 2459095.8087713434 15.464 --
TYC2268-394-1_2020-09-16_0.pkl 0.9734927754751577 -0.0004480826849022343 -134.33180590941885 2459108.760689101 10.631 --
TYC2268-394-1_2020-11-21_0.pkl 0.9333167174562096 -0.00012800945693919688 -38.37626871897133 2459174.744448222 -17.596 --
TYC2268-394-1_2021-07-08_0.pkl 0.7016605182486724 -0.00010556606812859567 -31.647910201138615 2459403.9108244404 25.694 --
TYC2268-394-1_2021-08-26_0.pkl 1.0466313730427412 -0.0001046571697491523 -31.375429329164255 2459452.9499941245 17.893 --
TYC2268-394-1_2021-10-03_0.pkl 0.4762836348049677 -0.00015988397956188136 -47.93200994860634 2459490.8758281567 3.165 --
TYC2268-394-1_2021-10-04_0.pkl 0.6042799969342316 -0.00027014626402426683 -80.98781035018182 2459491.9413981456 2.599 --

#Average Absolute_average Average_with_extraneous_data Absolute_average_with_extraneous_data Stdev Absolute_STDEV STDEV_with_extraneous_data Absolute_STDEV_with_extraneous_data
0.8624568532805247 0.8624568532805247 0.8624568532805247 0.8624568532805247 0.2765605379148721 0.2765605379148721 0.2765605379148721 0.2765605379148721
