[2459043.94643, 16.875, 0.240, -14.716, 0.824],
[2459067.95320, 15.096, 0.158, 12.453, 0.298],
[2459095.78954, 25.179, 0.131, nan, nan],
[2459120.74423, 22.058, 0.132, nan, nan],
[2459174.65924, 17.602, 0.229, 9.079, 0.290],
[2459175.63126, 21.259, 0.114, nan, nan],
[2459188.67385, nan, nan, 0.213, 0.430],
[2459403.89258, nan, nan, 27.451, 0.233],
[2459404.95656, 26.691, 0.141, nan, nan],
[2459452.93156, 18.203, 0.333, 9.681, 0.328],
[2459490.85653, 25.797, 0.119, nan, nan]
