[2458979.68713, 3.900, 0.265, 0.352, -19.133, 0.382, 0.299],
[2459042.67913, -37.532, 0.427, 0.437, -14.151, 0.812, 0.813],
[2459245.96298, -11.218, 0.356, 0.419, -34.472, 0.555, 0.540],
[2459303.80572, -29.256, 0.185, 0.206, nan, nan, nan],
[2459305.81283, 10.013, 0.246, 0.286, nan, nan, nan],
[2459327.78765, 17.594, 0.228, 0.220, nan, nan, nan],
[2459328.77594, -23.856, 0.231, 0.212, -0.173, 0.258, 0.272],
[2459364.69271, 60.988, 0.673, 12.646, 41.392, 0.988, 3.285],
[2459404.62212, 18.685, 0.577, 8.460, -4.563, 14.477, 0.734]
