[2459044.71510, 40.204, 4.752, 139.326, 0.005],
[2459095.65935, 32.204, 0.288, 13.006, 0.285],
[2459303.98192, nan, nan, nan, nan],
[2459305.96920, nan, nan, -276.038, 0.221],
[2459328.85639, nan, nan, -64.331, 0.141],
[2459337.87770, 41.040, 3.370, -120.384, 0.151],
[2459364.77119, nan, nan, nan, nan],
[2459403.67341, nan, nan, -905.113, 0.122],
[2459453.67415, 31.959, 0.275, 13.122, 0.276]
