[2459044.71510, -82.881, 0.698, 0.532, -109.669, 0.576, 0.524],
[2459095.65935, -128.146, 0.429, 0.427, -97.737, 0.426, 0.488],
[2459303.98192, -75.961, 0.857, 1.148, -104.758, 1.089, 1.192],
[2459305.96920, -56.434, 0.378, 0.365, -88.593, 0.551, 0.502],
[2459328.85639, -17.354, 1.332, 1.215, -44.815, 1.994, 1.730],
[2459337.87770, -143.492, 5.394, 1.866, -116.600, 7.865, 2.294],
[2459364.77119, -83.279, 0.885, 1.219, -50.337, 0.953, 0.923],
[2459403.67341, -139.566, 2.580, 3.434, -111.528, 3.149, 4.184],
[2459453.67415, -7.495, 0.568, 0.469, -40.884, 0.693, 0.556]
