,star,2MASS ID,source_id,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,2MASS_qph,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
1395,CSS J132453.8+100952,2MASS 13245391+1009522,3732275182351126400,WISEA J132453.89+100952.3,GALEX J132453.9+100952,201.2245283147211,10.1645326564335,1819.89578588013,,0.93,0.07,-0.4135,15.328944,230.11841,15.896106,72.566315,14.590653,87.69597,13.649,0.026,13.049,0.027,12.916,0.029,12.778,0.024,12.766,0.026,11.961,0.299,8.634,,,,21.33359909057617,0.3027999997138977,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1396,HD 113714,2MASS 13052912+1249354,3737715187928620032,WISEA J130529.14+124935.4,GALEX J130529.1+124935,196.37144138879304,12.826482526007524,316.37095710131234,23.576,3.68,0.07,-0.4646,9.886808,875.18585,10.299433,295.81024,9.293874,274.57742,8.46,0.026,8.0,0.031,7.853,0.024,7.709,0.03,7.736,0.02,7.637,0.019,7.646,0.138,,,15.33329963684082,0.0074999998323619,No,Variable H-alpha,Variable,Variable,AAA,0000,AAAB,RS,RS,3.6806,0.0,0.0,0.0,76.9,0.4,,,SB1,0.732816279,0.7721861,0.810335279,0.847396851,0.883480847,0.918679237
1397,ZTF J133756.45+130404.6,2MASS 13375645+1304047,3740552855640730240,WISEA J133756.45+130404.6,,204.48519818253945,13.067923191168328,1420.099525334665,,9.24,0.06,-0.552,15.173906,341.4259,15.767762,109.42667,14.399853,127.58851,13.431,0.023,12.836,0.023,12.679,0.025,12.587,0.023,12.562,0.025,12.194,0.319,8.884,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1398,KT Com,2MASS 13335022+1725303,3745804290681454592,WISEA J133350.21+172530.1,GALEX J133350.3+172531,203.45919514662165,17.425004572340463,178.25642713565475,,4.07,0.06,,8.075437,1713.8376,8.380352,658.4876,7.570205,537.44415,6.95,0.026,6.608,0.018,6.471,0.016,6.438,0.072,6.385,0.024,6.405,0.015,6.352,0.055,18.21529960632324,0.0847,12.984700202941896,0.0035999999381601,,,,,AAA,HH00,AAAA,cut,RS,,,,,,,,,,,,,,,
1399,CSS J105030.7-102916,2MASS 10503075-1029165,3758090547140255616,WISEA J105030.75-102916.5,GALEX J105030.7-102916,162.62814950306458,-10.487930952098443,1685.3751240121098,,8.71,0.09,-0.1618,14.871944,314.63657,15.500048,94.51556,14.098537,129.80388,13.022,0.026,12.406,0.027,12.267,0.026,12.188,0.023,12.176,0.024,12.126,0.413,8.833,,,,21.77989959716797,0.3055000007152557,,,,,AAA,0000,AACU,SSG,SSG,,,,,,,,,,,,,,,
1400,ZTF J101034.55-095955.5,2MASS 10103456-0959559,3768672693722590080,WISEA J101034.55-095955.7,GALEX J101034.5-095955,152.64396044213987,-9.998794164064538,989.9459239062886,,15.73,0.15,-0.193,13.438723,336.2527,13.976097,99.781296,12.733794,111.35372,11.735,0.024,11.212,0.026,11.095,0.023,11.073,0.024,11.076,0.022,11.021,0.123,8.552,,,,20.299299240112305,0.1142000034451484,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1401,2MASS J09563060-1000154,2MASS 09563060-1000154,3770044879938396544,WISEA J095630.60-100015.5,GALEX J095630.6-100015,149.12751787978695,-10.00433192064747,1051.8813930642184,,3.12,0.15,-0.3904,12.956714,389.217,13.451375,118.77777,12.294644,129.79367,11.359,0.023,10.798,0.023,10.733,0.025,10.439,0.021,10.403,0.019,10.044,0.069,8.693,,22.267200469970703,0.4434,18.210100173950195,0.0381999984383583,,,,,AAA,dddD,AAAU,RS,SSG,,,,,,,,,,,,,,,
1402,NSVS 13039638,2MASS 10184181-0341275,3780347789222513024,WISEA J101841.80-034127.6,GALEX J101841.7-034128,154.67418656771716,-3.6910247191066103,726.5184759994048,,4.12,0.11,,13.602461,328.6815,14.2930765,105.14632,12.781899,131.8708,11.639,0.023,11.047,0.022,10.863,0.021,10.64,0.023,10.581,0.02,10.42,0.087,8.97,,,,20.895299911499023,0.1620000004768371,,,,,AAA,0000,AAAU,cut,SSG,,,,,,,,,,,,,,,
1403,CSS J104011.7-022408,2MASS 10401173-0224085,3781524472822736640,WISEA J104011.72-022408.8,GALEX J104011.7-022408,160.04886182605244,-2.4024528360080075,1657.3002174076469,,8.21,0.16,-0.5256,15.511797,167.92203,16.171486,50.93623,14.682384,37.08321,13.513,0.024,12.905,0.025,12.735,0.03,12.717,0.024,12.658,0.027,12.225,,8.921,,,,22.501100540161133,0.382099986076355,,,,,AAA,0000,AAUU,SSG,SSG,,,,,,,,,,,,,,,
1404,BC Sex,2MASS 10300267-0047319,3782911193208142720,WISEA J103002.65-004732.1,,157.51105152821117,-0.7923111999315593,479.45760982443966,,15.37,0.17,0.0585,11.568714,246.56686,12.048368,74.74086,10.901015,91.954155,10.092,0.023,9.593,0.022,9.462,0.021,9.364,0.023,9.372,0.02,9.328,0.035,8.592,,,,,,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
