star,Gaia DR3 ID,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class
ZTF J083526.66+110419.9,601628234162151936,J083526.67+110419.8,GALEX J083526.6+110420,128.8611241264722,11.072165138618551,1190.1539261354758,,5.83,0.09,-0.2202,14.1310215,257.4047,14.7659025,64.088295,13.347574,90.65264,12.245,0.021,11.646,0.031,11.472,0.021,11.52,0.024,11.455,0.022,11.545,0.38,8.504,,,--,21.468599319458008,0.21480000019073486,,,,,0000,AACU,SSG,SSG
ZTF J084232.10+110722.1,601814773181311488,J084232.10+110722.1,,130.6337828342548,11.122801796260129,1060.0221143518484,,2.03,0.1,0.0497,14.512657,585.6236,15.145291,153.17915,13.731914,233.50952,12.483,0.029,11.9,0.022,11.745,0.023,11.775,0.022,11.805,0.023,11.552,0.199,8.94,,,,,,,,,,0000,AABU,cut,SSG
CSS J083845.8+141031,603458921022437760,J083845.85+141031.2,GALEX J083845.8+141031,129.69105610656658,14.175284007933222,1975.5272085009192,,15.11,0.1,-0.4125,14.882321,468.5436,15.376422,119.52265,14.201612,192.32527,13.397,0.024,12.856,0.023,12.714,0.024,12.674,0.023,12.695,0.028,11.532,,8.675,,,--,22.065099716186523,0.3028999865055084,,,,,0000,AAUU,RS,SSG
CSS J090456.0+111419,604071555157004416,J090455.89+111421.5,,136.2329111585531,11.239317056136612,1492.7393233310231,,4.68,0.07,-0.4915,15.145929,248.90674,15.839213,70.0419,14.316244,90.838905,12.954,0.023,12.318,0.026,12.119,0.024,12.012,0.023,11.963,0.022,12.129,0.39,8.781,,,,,,,,,,0000,AACU,SSG,SSG
LR Cnc,604443701187446784,J090347.70+121826.1,GALEX J090347.7+121826,135.94877552414422,12.307241544486976,522.0664341983904,,5.17,0.06,-0.3072,11.935602,322.06155,12.473754,96.44046,11.217705,114.770424,10.163,0.022,9.572,0.026,9.462,0.023,9.52,0.023,9.491,0.02,9.361,0.036,8.74,,22.214799880981445,0.2799,18.560300827026367,0.031099999323487282,,,,,0000,AAAU,RS,SSG
AG Cnc,604972089540120832,J085125.29+120256.4,,132.85538541143225,12.049013154771265,865.6869685052648,,2.83,0.09,-0.2234,13.385247,266.86572,13.942224,78.818306,12.662985,101.80506,11.671,0.021,11.123,0.023,10.971,0.022,10.854,0.023,10.83,0.02,10.685,0.1,8.792,,,,,,,,,,0000,AAAU,RS,SSG
CSS J090346.8+150516,607373663452712320,J090346.82+150516.4,,135.94514077039523,15.087883914806662,1888.8787654995783,,6.71,0.09,-0.2162,15.030247,544.65576,15.593986,138.08754,14.306903,186.42877,13.355,0.024,12.823,0.032,12.673,0.025,12.664,0.024,12.641,0.026,11.837,,8.843,,,,,,,,,,0000,AAUU,RS,SSG
CSS J090107.3+144631,610249573554425984,J090107.37+144631.5,,135.28073309315016,14.77544178881163,1336.241682358159,,27.95,0.18,-0.0288,14.043917,447.62924,14.66127,124.28689,13.285301,155.94626,12.242,0.024,11.661,0.023,11.537,0.021,11.464,0.023,11.515,0.022,11.501,0.207,8.482,,,,,,,,,,0000,AABU,RS,SSG
CSS J085258.9+165751,611706701339618816,J085258.93+165751.1,GALEX J085258.9+165752,133.2455482509366,16.964192547772885,1440.5925696700408,,12.59,0.06,,14.71392,642.19836,15.24951,173.48999,14.01489,194.94672,12.977,0.022,12.466,0.019,12.388,0.023,12.365,0.023,12.4,0.024,11.997,0.342,8.506,,,--,21.828500747680664,0.398499995470047,,,,,0000,AABU,RS,-999
CSS J095315.7+152655,616739166059083392,J095315.69+152655.3,GALEX J095315.7+152655,148.31535586051046,15.448684736870128,1347.3620188293692,,2.02,0.09,-0.248,14.323421,296.87396,14.897101,86.183846,13.587245,98.73565,12.573,0.029,11.986,0.03,11.881,0.022,11.712,0.023,11.723,0.023,11.614,0.267,8.97,,,--,20.6471004486084,0.19820000231266022,,,,,0000,AABU,cut,SSG
CSS J100020.2+203800,627872855161638912,J100020.26+203759.7,GALEX J100020.3+203800,150.08438539542098,20.63326608314623,1340.7373396462629,,5.13,0.07,-0.2821,14.288446,214.9224,14.853444,66.97954,13.545161,84.65997,12.643,0.022,12.041,0.024,11.946,0.021,11.801,0.023,11.765,0.023,11.481,0.179,9.137,,,--,20.584800720214844,0.1923000067472458,,,,,0000,AABU,RS,SSG
CSS J101122.4+204230,628448277700651008,J101122.44+204229.9,,152.84349188509165,20.708334485549184,1440.3197958561786,,18.2,0.08,,13.715383,530.8316,14.130432,180.90773,13.115024,140.20898,12.301,0.022,11.816,0.018,11.743,0.02,11.701,0.023,11.683,0.021,11.807,0.283,8.946,,,,,,,,,,0000,AABU,RS,-999
ZTF J092528.93+152022.1,630652248758302720,J092528.93+152022.0,GALEX J092529.0+152023,141.37056136203498,15.33946465526396,1925.76269420792,,3.67,0.07,-0.2803,14.820238,479.43042,15.447483,154.4642,14.050189,166.36351,12.877,0.023,12.298,0.025,12.139,0.022,12.065,0.023,12.057,0.023,11.751,0.265,8.916,,,--,21.576400756835938,0.2282000035047531,,,,,0000,AABU,SSG,SSG
CSS J091605.1+180023,632183731016879616,J091605.14+180023.0,GALEX J091605.1+180024,139.02144038102998,18.006399533941618,1566.0693478856233,,16.99,0.1,-0.0116,14.863385,530.3322,15.440881,143.63408,14.134394,172.96234,13.127,0.023,12.649,0.024,12.544,0.026,12.454,0.023,12.487,0.025,12.311,0.492,8.24,,,--,22.514400482177734,0.45969998836517334,,,,,0000,AACU,RS,SSG
CSS J093011.0+175118,633056777608799872,J093011.09+175118.4,GALEX J093011.1+175118,142.54624255783986,17.855112948165136,1759.4245360910782,,24.8,0.08,-0.1071,13.09787,350.81647,13.588744,87.94311,12.4253235,132.31395,11.681,0.02,11.104,0.017,10.994,0.016,10.856,0.022,10.864,0.02,10.724,0.115,8.463,,,--,19.377899169921875,0.05939999967813492,,,,,0000,AABU,RS,RS
CSS J092700.6+191010,634010913183545856,J092700.60+191010.4,GALEX J092700.5+191010,141.75250312215678,19.1695516130072,1344.8122335217824,,10.56,0.11,-0.0402,13.349254,543.11816,13.853356,164.83421,12.679497,220.30084,11.887,0.021,11.302,0.022,11.191,0.021,11.111,0.023,11.117,0.02,11.131,0.16,9.208,,,--,19.70989990234375,0.08799999952316284,,,,,0000,AABU,RS,SSG
ZTF J081207.54+135540.1,653726874659433472,J081207.54+135540.1,GALEX J081207.5+135540,123.03143893199784,13.927796809742924,1917.517601,,9.43,0.08,-0.3872,14.983026,706.9486,15.484899,229.11342,14.29036,244.0586,13.495,0.024,12.921,0.023,12.801,0.027,12.753,0.024,12.767,0.027,12.162,0.408,8.312,,,--,21.33340072631836,0.2962999939918518,,,,,0000,AACU,RS,SSG
CSS J075410.6+141829,654503129867566080,J075410.69+141828.5,GALEX J075410.6+141828,118.5445447633228,14.307919043848198,1446.344040984256,,5.6,0.1,-0.219,13.5673,125.816734,14.12602,38.804405,12.821387,50.025593,11.883,0.022,11.284,0.023,11.143,0.017,11.002,0.022,10.968,0.021,10.852,0.121,8.78,,17.534000396728516,0.0424,17.676700592041016,0.02879999950528145,,,,,d000,AABU,cut,SSG
CSS J075520.4+145106,654561781940678912,J075520.47+145105.7,GALEX J075520.3+145105,118.83529317681648,14.85159582677004,1484.0406775734184,,6.92,0.08,-0.3964,14.909366,159.414,15.569393,45.853172,14.078684,61.257465,12.791,0.026,12.16,0.022,12.01,0.021,11.973,0.022,11.961,0.023,11.937,0.354,8.648,,,--,22.465700149536133,0.36910000443458557,,,,,0000,AABU,cut,SSG
ASAS J081513+1644.6,655828900372514688,J081512.96+164441.4,GALEX J081513.0+164442,123.80400435036748,16.744854706190814,1268.2387730883909,,36.33,0.09,-0.3983,11.20104,310.1799,11.782568,89.54725,10.454945,120.15689,9.516,0.022,8.921,0.016,8.766,0.018,8.686,0.022,8.743,0.019,8.631,0.025,8.197,,,--,18.72909927368164,0.05209999904036522,,,,,0000,AAAU,RS,SSG
KP 201594,659215911582235648,J083718.67+170252.9,GALEX J083718.7+170251,129.32783009249272,17.048040755263035,1574.3116599570983,,71.67,0.08,,12.957715,416.57425,13.544266,120.386,12.236398,156.71169,11.297,0.021,10.709,0.02,10.598,0.017,10.551,0.023,10.621,0.021,10.592,0.146,8.59,,,--,20.708999633789062,0.11569999903440475,,,,,0000,AABU,RS,-999
CSS J075129.1+185823,668743214197037824,J075129.15+185823.5,,117.87148927903674,18.97319394284952,1340.971658579825,,15.2,0.14,-0.5986,14.678408,489.7501,15.286145,159.75667,13.91868,165.54134,12.925,0.022,12.321,0.026,12.171,0.02,12.048,0.024,12.032,0.023,11.454,0.214,8.859,,,,,,,,,,0000,AABU,SSG,SSG
CSS J080627.1+181054,668960299023416960,J080627.14+181054.4,GALEX J080627.1+181055,121.61307458632244,18.181762349210164,1201.516367877742,,0.13,0.14,-0.0401,13.766877,684.8441,14.304564,206.86523,13.075143,276.25912,12.275,0.024,11.766,0.032,11.626,0.019,11.511,0.024,11.545,0.021,11.528,0.198,8.476,,,--,21.178499221801758,0.14159999787807465,,,,,0000,AABU,RS,SSG
ZTF J074140.05+183131.4,671472648733578752,J074140.06+183131.4,GALEX J074140.0+183131,115.4169139501883,18.525383539711164,1007.9237007440828,,4.16,0.11,-0.1577,13.323756,191.59445,13.924582,56.03529,12.575026,70.43738,11.498,0.021,10.927,0.022,10.798,0.02,10.697,0.022,10.693,0.021,10.529,0.085,8.708,,,--,20.17180061340332,0.11779999732971191,,,,,0000,AAAU,RS,SSG
ZTF J074607.10+201511.1,672121154434948864,J074607.10+201511.2,,116.52960659545428,20.25309704476117,1312.5641356090764,,3.32,0.2,-0.0008,14.581138,329.38806,15.178501,94.62948,13.84814,122.45362,12.778,0.022,12.224,0.024,12.091,0.022,12.073,0.023,12.095,0.024,12.128,0.423,8.522,,,,,,,,,,0000,AACU,RS,SSG
ZTF J074153.07+201752.4,672839822722908672,J074153.08+201752.2,,115.47117571314608,20.29786966181978,1804.078953502668,,4.82,0.15,-0.5027,14.385985,396.47562,14.8371935,125.20177,13.755113,133.33835,12.925,0.023,12.416,0.023,12.315,0.021,12.275,0.023,12.239,0.023,11.643,0.263,8.829,,,,,,,,,,0000,AABU,RS,SSG
BD +201895,672877103038407040,J074516.38+202316.3,,116.31828710121556,20.387857283719896,481.4909426225089,24.37,12.13,0.14,-0.0671,9.551703,675.4245,10.09439,223.43758,8.850197,298.95865,7.914,0.027,7.348,0.016,7.239,0.017,7.1,0.038,7.195,0.021,7.112,0.017,7.095,0.095,,,,,Yes,Absorption,Normal Emission,Normal Emission,0000,AAAA,RS,RS
CSS J073729.9+204345,673091061129216256,J073729.93+204345.8,GALEX J073729.9+204346,114.37471555408028,20.729389083324545,1317.0680658153176,,6.39,0.13,-0.487,12.698164,576.8428,13.029933,197.83046,12.193425,199.00447,11.639,0.022,11.299,0.02,11.267,0.02,11.194,0.022,11.226,0.021,11.018,0.139,8.546,,,--,17.627700805664062,0.028300000354647636,,,,,d000,AABU,RS,RS
CSS J075229.8+232839,675401375577988096,J075229.88+232839.6,GALEX J075229.9+232839,118.12451313190272,23.477664315310985,1354.9121237784618,,5.03,0.18,-0.3713,14.646453,162.79424,15.220138,46.523422,13.906622,60.18811,12.881,0.021,12.256,0.023,12.162,0.02,12.194,0.024,12.178,0.023,12.128,0.407,8.86,,,--,22.111000061035156,0.4603999853134155,,,,,0000,AACU,RS,SSG
ZTF J081647.55+212720.8,676014181511336192,J081647.56+212720.8,GALEX J081647.5+212721,124.19814727707504,21.455769583452756,1665.3078928844416,,12.77,0.1,-0.4183,14.780974,390.6977,15.250883,88.238594,14.126427,148.81027,13.214,0.023,12.752,0.023,12.672,0.023,12.64,0.023,12.661,0.026,12.535,,8.938,,,--,20.604900360107422,0.25209999084472656,,,,,0000,AAUU,RS,SSG
ZTF J082512.91+224035.1,677876960367321088,J082512.91+224035.0,GALEX J082512.9+224035,126.3038075269718,22.676407338422024,1518.6537475738946,,13.61,0.12,-0.2352,14.45527,371.0892,15.034538,123.07902,13.716682,128.81589,12.518,0.022,11.915,0.024,11.786,0.021,11.8,0.022,11.793,0.022,11.6,0.279,8.918,,,--,21.585899353027344,0.3458000123500824,,,,,0000,AABU,RS,SSG
